Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
1	0.057142857	0.23211537	1.0	0.0	0.0	0.0	0.0	0.0	7.114286	1.2	250	-0.3187471	0.8028352	1.6969814	-0.7174063	0.017991979	0.8875	263.1242823600769
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4242425	8.2	500	0.9088833	1.7497241	1.4925961	-0.55814725	0.030420398	0.775	552.7804799079895
3	0.075	0.26339135	1.0	0.0	0.0	0.0	0.0	0.0	6.35	2.0	750	1.5945774	2.9273794	1.464334	-0.41865337	0.012633833	0.6625	833.8384475708008
4	0.07317073	0.2604165	1.0	0.0	0.2	0.4	1.0	0.0	6.1707315	8.8	1000	2.1476066	3.8881712	1.3044457	-0.64201784	0.0066222236	0.55	1140.198250055313
5	0.121212125	0.32637364	1.0	0.0	0.2	0.4	1.0	0.0	7.121212	8.6	1250	2.4458811	4.4146886	1.5347366	-0.5491598	0.0047234534	0.4375	1434.6952748298645
6	0.12	0.32496154	1.0	0.0	0.0	0.0	0.0	0.0	10.4	20.6	1500	2.7653596	4.9809504	1.4994875	-0.4808369	0.0025492182	0.325	1767.0699553489685
7	0.45454547	0.4979296	1.0	0.0	0.2	0.4	1.0	0.0	10.818182	17.6	1750	2.9044938	5.225904	1.4960904	-0.4412946	0.0014656576	0.21250000000000002	2086.2296657562256
8	0.44444445	0.49690402	1.0	0.0	0.2	0.4	1.0	0.0	9.851851	20.4	2000	3.039633	5.465452	1.6471993	-0.3874227	0.001266379	0.1	2423.908163547516
9	0.55	0.4974937	1.0	0.0	0.8	0.4	1.0	0.0	12.05	6.6	2250	3.1119215	5.593596	1.6930552	-0.3344112	0.0009197079	0.1	2703.5180745124817
10	0.3888889	0.48749802	1.0	0.0	0.2	0.4	1.0	0.0	14.111111	19.4	2500	3.120892	5.609388	1.654135	-0.34021857	0.0007193344	0.1	3013.021713733673
11	0.68	0.46647614	1.0	0.0	0.4	0.48989797	1.0	0.0	10.24	9.0	2750	3.134957	5.633557	1.6639632	-0.348844	0.00080327084	0.1	3303.119099855423
12	0.68	0.46647614	1.0	0.0	0.2	0.4	1.0	0.0	9.64	20.8	3000	3.1558638	5.6715627	1.6330534	-0.38657647	0.00077440153	0.1	3636.2055246829987
13	0.7692308	0.42132503	1.0	0.0	1.0	0.0	1.0	1.0	9.884615	4.8	3250	3.1756814	5.7073364	1.7194121	-0.397122	0.00068624644	0.1	3911.239738702774
14	0.76	0.42708316	1.0	0.0	1.0	0.0	1.0	1.0	9.28	4.6	3500	3.205988	5.7611604	1.5405452	-0.43657756	0.0009549633	0.1	4184.1698632240295
15	0.71428573	0.45175397	1.0	0.0	1.0	0.0	1.0	1.0	9.357142	2.8	3750	3.2152495	5.777285	1.5981927	-0.39097556	0.0007689172	0.1	4453.635978460312
16	0.72727275	0.4453618	1.0	0.0	1.0	0.0	1.0	1.0	7.818182	7.6	4000	3.2120512	5.7720656	1.6912849	-0.40193173	0.00061441073	0.1	4766.564646959305
17	0.8	0.4	1.0	0.0	0.8	0.4	1.0	0.0	6.742857	5.8	4250	3.202777	5.755413	1.6299453	-0.36281955	0.000547806	0.1	5068.100222349167
18	0.85714287	0.3499271	1.0	0.0	0.8	0.4	1.0	0.0	9.214286	9.4	4500	3.2338872	5.811678	1.7446241	-0.35954195	0.0005388437	0.1	5369.3892340660095
19	0.75	0.4330127	1.0	0.0	1.0	0.0	1.0	1.0	7.84375	6.4	4750	3.2803571	5.8943458	1.7315295	-0.38928717	0.0005729419	0.1	5667.365995645523
20	0.9117647	0.2836368	1.0	0.0	0.8	0.4	1.0	0.0	7.2941175	10.8	5000	3.3170264	5.9596715	1.8023502	-0.38447905	0.00044422466	0.1	5995.597242355347
21	0.8684211	0.33803242	1.0	0.0	0.8	0.4	1.0	0.0	6.7105265	7.4	5250	3.3447144	6.008417	1.774349	-0.3556288	0.00048365456	0.1	6305.0532143116
22	0.9142857	0.27994168	1.0	0.0	1.0	0.0	1.0	1.0	7.142857	8.0	5500	3.3677979	6.0500207	1.770926	-0.35604483	0.0004907083	0.1	6616.7013194561005
23	0.88235295	0.32218975	1.0	0.0	0.8	0.4	1.0	0.0	7.0588236	4.6	5750	3.4054663	6.116363	1.7156556	-0.34692878	0.0005021295	0.1	6902.806535720825
24	0.9736842	0.16007271	1.0	0.0	1.0	0.0	1.0	1.0	6.868421	13.2	6000	3.4038892	6.113428	1.6715508	-0.32404634	0.00046740493	0.1	7241.245090723038
25	0.9111111	0.2845833	1.0	0.0	0.8	0.40000004	1.0	0.0	5.5333333	8.2	6250	3.4215498	6.144721	1.7985634	-0.3559469	0.00034435812	0.1	7571.748268842697
26	0.96666664	0.1795055	1.0	0.0	1.0	0.0	1.0	1.0	8.366667	10.0	6500	3.4688482	6.229573	1.6802475	-0.3546614	0.00033885223	0.1	7887.404237985611
27	0.8857143	0.31815797	1.0	0.0	0.8	0.4	1.0	0.0	7.0285716	9.2	6750	3.471474	6.2338896	1.6987693	-0.31740692	0.00044481747	0.1	8201.931908369064
28	0.9	0.29999998	1.0	0.0	0.8	0.4	1.0	0.0	8.5	6.0	7000	3.4748392	6.2401323	1.7848356	-0.39540228	0.00045050174	0.1	8500.580601215363
29	0.8918919	0.3105169	1.0	0.0	0.8	0.4	1.0	0.0	6.7297297	3.2	7250	3.464612	6.221785	1.7092525	-0.36192396	0.0003565673	0.1	8792.933607816696
30	0.8918919	0.3105169	1.0	0.0	0.8	0.40000004	1.0	0.0	6.7297297	8.4	7500	3.4802415	6.2502117	1.6716477	-0.36340287	0.0003246768	0.1	9111.917695999146
31	0.8076923	0.39411348	1.0	0.0	1.0	0.0	1.0	1.0	9.461538	7.4	7750	3.4809058	6.2509522	1.710605	-0.4072513	0.00032780165	0.1	9409.934202671051
32	0.8333333	0.372678	1.0	0.0	0.8	0.4	1.0	0.0	7.0277777	4.6	8000	3.5087883	6.3013215	1.7181731	-0.37569803	0.00027202175	0.1	9711.94231057167
33	0.90909094	0.28747982	1.0	0.0	1.0	0.0	1.0	1.0	5.75	6.2	8250	3.4930596	6.272639	1.7161611	-0.40197796	0.00028459908	0.1	10028.33509349823
34	0.88372093	0.32055926	1.0	0.0	1.0	0.0	1.0	1.0	5.4883723	6.0	8500	3.4907672	6.2689433	1.7533574	-0.47196054	0.0002730341	0.1	10331.39895939827
35	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	6.868421	8.8	8750	3.5023708	6.2899594	1.7130259	-0.31690603	0.00024318737	0.1	10657.742367982864
36	0.8974359	0.3033887	1.0	0.0	1.0	0.0	1.0	1.0	6.4358974	6.0	9000	3.500367	6.286189	1.7316514	-0.36101043	0.00023980823	0.1	10969.886364936829
