Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.03125	0.17399263	1.0	0.0	0.0	0.0	0.0	0.0	7.625	25.0	250	1.2989446	0.39801988	2.7726715	-0.1480262	1.2978642	0.39741105	1.9254833	-0.33266795	1.5718932	0.16094379	0.92413133	-2.7806401	0.020949448	0.019946612	-0.12574744	344.8178622722626
2	0.055555556	0.22906142	1.0	0.0	0.0	0.0	0.0	0.0	13.055555	25.0	500	1.2263522	0.3089346	1.8167374	-0.24510244	1.2262808	0.3101526	1.8349179	-0.22553496	1.5578532	0.16094379	0.56151956	-2.1466312	0.007381109	0.00705317	-0.819833	673.455974817276
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.181818	17.6	750	0.9012979	0.2041379	1.4493011	-0.2707226	0.9013574	0.20558684	1.5311171	-0.20454197	1.5506151	0.16094379	0.34181267	-1.4471831	0.0044131996	0.0040989667	-1.5059502	979.8327021598816
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.263158	20.2	1000	0.61241394	0.16051814	1.2022022	-0.2865562	0.6124067	0.16133037	1.1643032	-0.22002675	1.5356077	0.16094379	0.20810881	-0.9437395	0.0026206828	0.0024900865	-2.1706505	1292.7838509082794
5	0.09090909	0.28747976	1.0	0.0	0.0	0.0	0.0	0.0	12.272727	10.8	1250	0.42617807	0.15817492	1.1352448	-0.20791352	0.4261472	0.15926594	1.1341096	-0.1761551	1.4616189	0.16094379	0.12776853	-0.63553405	0.0014526773	0.0013859536	-2.6830502	1583.3848297595978
6	0.10204082	0.30270198	1.0	0.0	0.0	0.0	0.0	0.0	5.0612245	1.2	1500	0.3148824	0.17411146	1.2656338	-0.27848002	0.31481704	0.17412812	1.30124	-0.23755804	1.346088	0.16094379	0.080442436	-0.4582338	0.0027283344	0.0027996064	-2.992347	1871.0267786979675
7	0.07575758	0.26460984	1.0	0.0	0.2	0.40000004	1.0	0.0	3.7727273	2.2	1750	0.26153368	0.20966056	1.2254418	-0.40023166	0.26150298	0.20966932	1.2781414	-0.33670318	1.1993718	0.16094379	0.051892433	-0.36708552	0.003012154	0.0031097266	-3.073087	2180.138420820236
8	0.13636364	0.3431743	1.0	0.0	0.4	0.48989797	1.0	0.0	5.681818	11.2	2000	0.24444978	0.24143144	1.2434416	-0.27945706	0.24457443	0.24160028	1.200977	-0.27058735	1.0164161	0.16094379	0.034745768	-0.3283644	0.0025023099	0.0024474221	-2.8730595	2504.4975125789642
9	0.18367347	0.38721764	1.0	0.0	0.0	0.0	0.0	0.0	5.122449	7.0	2250	0.2311229	0.2537696	1.2040462	-0.336722	0.23113246	0.2542921	1.2072939	-0.32023513	0.8241493	0.16094379	0.024288954	-0.30602643	0.002044831	0.0019020037	-2.463609	2816.321592092514
10	0.2	0.4	1.0	0.0	0.0	0.0	0.0	0.0	6.325	7.2	2500	0.24133705	0.27374515	1.211966	-0.28500286	0.24131037	0.27416044	1.1708556	-0.28285924	0.62889427	0.16094379	0.017889429	-0.31415886	0.0015982747	0.0015254371	-1.8807878	3117.18598985672
