Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
1	0.21875	0.41339865	1.0	0.0	0.0	0.0	0.0	0.0	7.71875	4.0	250	-0.34900978	0.83256406	1.7507775	-0.6758242	0.018725017	0.8875	236.18765902519226
2	0.3	0.45825756	1.0	0.0	0.6	0.48989794	1.0	0.0	8.4	2.6	500	0.58744067	1.2463902	1.23333	-0.57952857	0.028781086	0.775	466.5270800590515
3	0.575	0.49434298	1.0	0.0	1.0	0.0	1.0	1.0	6.225	2.6	750	1.5978128	2.9447255	1.1861868	-0.39826587	0.010904458	0.6625	705.7145507335663
4	0.5925926	0.49135178	1.0	0.0	1.0	0.0	1.0	1.0	4.685185	2.8	1000	3.0007133	5.4001317	1.4571898	-0.2826218	0.0038560214	0.55	966.8930349349976
5	0.7758621	0.41701332	1.0	0.0	1.0	0.0	1.0	1.0	4.1551723	2.2	1250	3.7591283	6.746654	1.3181108	-0.17471743	0.0011661589	0.4375	1232.527262687683
6	0.8181818	0.38569462	1.0	0.0	1.0	0.0	1.0	1.0	4.672727	2.2	1500	4.0548058	7.273086	1.3233415	-0.15935457	0.0005195439	0.325	1485.5222096443176
7	0.94285715	0.2321154	1.0	0.0	1.0	0.0	1.0	1.0	3.5714285	2.6	1750	4.131581	7.4105525	1.546876	-0.11453289	0.00025314884	0.21250000000000002	1761.4920933246613
8	0.9655172	0.18246558	1.0	0.0	1.0	0.0	1.0	1.0	2.8735633	2.4	2000	4.1142845	7.379912	1.2652917	-0.0919199	0.00013658055	0.1	2051.077228307724
9	0.9885057	0.10659332	1.0	0.0	1.0	0.0	1.0	1.0	2.8505747	2.8	2250	4.1511497	7.445954	1.6250305	-0.09669751	0.000108272674	0.1	2347.1098523139954
10	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.6458333	2.4	2500	4.162424	7.465588	1.6999145	-0.096487105	0.00010778385	0.1	2648.6306619644165
11	0.9896907	0.10100988	1.0	0.0	1.0	0.0	1.0	1.0	2.5773196	2.6	2750	4.19289	7.5204997	1.6504797	-0.1143958	0.000114092276	0.1	2946.198433160782
12	0.969697	0.17141983	1.0	0.0	1.0	0.0	1.0	1.0	2.5252526	3.4	3000	4.183754	7.5041738	1.7121888	-0.106719255	9.964657e-05	0.1	3247.0552265644073
13	0.9680851	0.17577353	1.0	0.0	1.0	0.0	1.0	1.0	2.6382978	2.4	3250	4.1967406	7.527419	1.7023027	-0.107096255	0.00010473744	0.1	3542.1367847919464
14	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.5454545	2.6	3500	4.2035747	7.5396943	1.6645012	-0.116151094	7.2285104e-05	0.1	3841.0655176639557
15	0.9904762	0.09712419	1.0	0.0	1.0	0.0	1.0	1.0	2.3809524	2.2	3750	4.211065	7.5525446	1.6376202	-0.12804359	8.771116e-05	0.1	4143.730024814606
16	0.9782609	0.14583051	1.0	0.0	1.0	0.0	1.0	1.0	2.7173913	2.8	4000	4.1691294	7.4779873	1.7038774	-0.092791736	7.419126e-05	0.1	4438.850847959518
17	0.96875	0.17399263	1.0	0.0	1.0	0.0	1.0	1.0	2.6041667	3.0	4250	4.191018	7.5172133	1.7430063	-0.109357715	8.42402e-05	0.1	4738.539670944214
18	0.94736844	0.22329684	1.0	0.0	1.0	0.0	1.0	1.0	2.6210527	6.8	4500	4.162599	7.466483	1.756485	-0.106494665	7.433802e-05	0.1	5049.363684415817
19	0.95789474	0.20082934	1.0	0.0	1.0	0.0	1.0	1.0	2.6421053	2.8	4750	4.116189	7.383228	1.7289462	-0.104934216	0.0001025298	0.1	5348.987667798996
20	0.9892473	0.103136174	1.0	0.0	1.0	0.0	1.0	1.0	2.688172	2.8	5000	4.144694	7.434247	1.749918	-0.09074217	9.069195e-05	0.1	5649.693335056305
21	0.97849464	0.14506172	1.0	0.0	1.0	0.0	1.0	1.0	2.6774194	2.2	5250	4.164359	7.4694614	1.7402205	-0.10765821	7.553448e-05	0.1	5945.2866127491
22	0.9708738	0.16816027	1.0	0.0	1.0	0.0	1.0	1.0	2.4368932	2.4	5500	4.1621466	7.465386	1.7985506	-0.10117072	6.9074216e-05	0.1	6255.005892753601
23	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.7472527	2.2	5750	4.1384635	7.423012	1.793113	-0.09736359	7.5569864e-05	0.1	6550.374771118164
24	0.9569892	0.2028813	1.0	0.0	1.0	0.0	1.0	1.0	2.6774194	2.6	6000	4.159153	7.459936	1.7721494	-0.09203166	6.2787316e-05	0.1	6847.615652561188
25	0.9770115	0.14986672	1.0	0.0	1.0	0.0	1.0	1.0	2.8735633	2.6	6250	4.175813	7.4895887	1.5001414	-0.07756311	6.412609e-05	0.1	7140.929050207138
