Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.1724138	0.37773967	1.0	0.0	0.0	0.0	0.0	0.0	8.206897	25.0	250	1.312462	0.39402023	2.780167	-0.05566092	1.312137	0.39183167	2.0054379	-0.34118718	1.5683252	0.16094379	0.9238001	-2.8086655	0.023174996	0.02229097	-0.12564406	291.5636281967163
2	0.33333334	0.47140455	1.0	0.0	0.0	0.0	0.0	0.0	17.0	25.0	500	1.2688613	0.28288627	1.7778057	-0.10602375	1.2688195	0.28452265	1.8324237	-0.10914248	1.5574274	0.16094379	0.56151235	-2.1859784	0.0051505743	0.004696807	-0.82030535	576.6451885700226
3	0.23529412	0.4241825	1.0	0.0	0.2	0.4	1.0	0.0	15.117647	20.4	750	0.93604165	0.19741608	1.2686117	-0.100458294	0.93600583	0.19768894	1.2662511	-0.13465361	1.5647867	0.16094379	0.34097737	-1.477957	0.00094776985	0.00096893945	-1.5259829	841.1440372467041
4	0.41666666	0.49300668	1.0	0.0	0.8	0.4	1.0	0.0	9.625	6.4	1000	0.6419483	0.15839621	1.1086606	-0.1267727	0.6418904	0.15725315	1.1219945	-0.14570385	1.5258064	0.16094379	0.20701014	-0.97350204	0.00053678924	0.0006813316	-2.1581395	1072.8600447177887
5	0.86206895	0.34482762	1.0	0.0	0.6	0.48989794	1.0	0.0	9.172414	11.8	1250	0.46514183	0.16019957	1.086249	-0.11731374	0.4651375	0.15913415	1.1089497	-0.13002087	1.3404126	0.16094379	0.12974821	-0.6938701	0.000337446	0.00043384844	-2.410445	1328.5671875476837
6	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.9076922	2.2	1500	0.3971378	0.20458709	1.0672971	-0.07085106	0.3971419	0.20412038	1.0672828	-0.067859404	1.0437893	0.16094379	0.08633133	-0.57735413	0.00035915102	0.00041369707	-2.1566904	1593.7858917713165
7	0.9882353	0.10782531	1.0	0.0	1.0	0.0	1.0	1.0	2.9411764	2.4	1750	0.39262104	0.24407168	1.0496843	-0.046460535	0.39257953	0.24383578	1.065155	-0.064388625	0.7212562	0.16094379	0.06298204	-0.5545841	0.00031944647	0.0003407875	-1.5452548	1881.6912264823914
8	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.49	2.0	2000	0.41649505	0.27262604	1.0611829	-0.05196488	0.4164925	0.27248007	1.077022	-0.053748	0.49814954	0.16094379	0.049910728	-0.56256765	0.00034063566	0.0003693704	-1.0088147	2183.355903148651
9	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.4653466	2.4	2250	0.44079316	0.28327268	1.0800291	-0.05773083	0.44081855	0.28322798	1.0806412	-0.050985575	0.37750408	0.16094379	0.041808467	-0.5707193	0.00029135804	0.0002890191	-0.6865155	2484.3160507678986
10	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.3809524	2.4	2500	0.46707103	0.2951128	1.0838646	-0.051178597	0.46706644	0.2950931	1.0601692	-0.0663375	0.28986782	0.16094379	0.036360055	-0.58463377	0.00027664733	0.00027402389	-0.42661315	2792.005577325821
11	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.4752476	2.4	2750	0.4825712	0.29907477	1.0610398	-0.037823908	0.48255596	0.2991261	1.0542877	-0.052676894	0.24599533	0.16094379	0.032683212	-0.5879804	0.00022676338	0.00022697455	-0.29070038	3096.9732224941254
12	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.2432432	2.6	3000	0.5009307	0.30366716	1.0502269	-0.05444252	0.5009192	0.30371428	1.0610362	-0.0483981	0.20748422	0.16094379	0.030060375	-0.60200024	0.0002059303	0.00020957187	-0.1630086	3410.1255939006805
13	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.4	2.8	3250	0.51607335	0.30564937	1.0423315	-0.032878123	0.5160271	0.30560395	1.0458143	-0.0337832	0.18550707	0.16094379	0.02834372	-0.6063558	0.0002167426	0.00022995923	-0.087451525	3717.2457222938538
14	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.3679245	2.2	3500	0.5287286	0.30829737	1.0469358	-0.047107197	0.5287597	0.30834523	1.062809	-0.03476026	0.17073353	0.16094379	0.027398203	-0.6171918	0.00021003683	0.00021012819	-0.03519584	4030.4460821151733
15	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.1929824	2.0	3750	0.54346365	0.30841196	1.048328	-0.041315045	0.54346836	0.30838403	1.0455918	-0.04146963	0.16419531	0.16094379	0.026896305	-0.623584	0.00017247071	0.00017111702	-0.01173789	4346.069464445114
16	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.3490567	2.8	4000	0.55165464	0.31030002	1.0401084	-0.028651323	0.5516322	0.31025237	1.0372742	-0.030593889	0.15944263	0.16094379	0.02682658	-0.62957555	0.000117213036	0.00013503799	0.005435059	4656.861835479736
17	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.2818182	2.0	4250	0.56405187	0.310251	1.0328373	-0.040239632	0.56408495	0.31026986	1.0335127	-0.036861576	0.15732537	0.16094379	0.027302414	-0.6357863	0.00012951005	0.00011849676	0.013051199	4967.09468960762
18	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.4509804	2.4	4500	0.5709558	0.309043	1.0443379	-0.033614706	0.570911	0.30908287	1.0380155	-0.045060374	0.16056491	0.16094379	0.027346024	-0.64014953	0.00017779462	0.00017317903	0.0013781158	5277.359446287155
19	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.407767	2.2	4750	0.57366896	0.30925563	1.0449215	-0.04024156	0.5737106	0.3092373	1.0470665	-0.030201627	0.15662268	0.16094379	0.02814999	-0.6391642	0.00020437277	0.00019171847	0.015479991	5589.126903772354
20	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.4950495	2.6	5000	0.5830261	0.30781987	1.0337554	-0.031191142	0.58303374	0.3078094	1.0334982	-0.029110013	0.15881707	0.16094379	0.028414546	-0.6444216	0.00026126593	0.00024338329	0.0075915246	5900.9821717739105
21	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.3714285	2.8	5250	0.58240235	0.30703336	1.0370908	-0.03829796	0.5823976	0.30711	1.0394971	-0.033138517	0.16451441	0.16094379	0.028467255	-0.6437136	0.00016900686	0.00015558572	-0.01269811	6216.926706314087
22	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.3457944	1.8	5500	0.5989469	0.30689567	1.0292696	-0.031800363	0.59893453	0.30681124	1.0338389	-0.026095042	0.15385179	0.16094379	0.028560452	-0.6563418	0.00015398815	0.00018140467	0.025191277	6526.792159080505
23	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.2342343	2.2	5750	0.5984385	0.3069335	1.0296463	-0.038633768	0.59843796	0.3069207	1.0437824	-0.023315225	0.16411035	0.16094379	0.029415056	-0.6544739	0.00014286036	0.00015017821	-0.011148537	6839.469765901566
24	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.4607842	1.8	6000	0.59753525	0.30741045	1.0273651	-0.03611834	0.5975344	0.30743322	1.0225127	-0.031216828	0.16153547	0.16094379	0.02875429	-0.6526358	0.0001373036	0.00013501184	-0.0020582553	7145.598169088364
25	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.2410715	2.4	6250	0.6038671	0.30519292	1.0247928	-0.03514404	0.60388947	0.30513188	1.0243993	-0.02301746	0.15821156	0.16094379	0.029214645	-0.6562229	9.247655e-05	0.000111845584	0.0097006	7462.82225894928
