Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	35.0	250	1.6060795	1.2510853	3.956593	-11.689431	1.6017202	1.2396064	4.1116767	-10.701226	-1.6432503	-6.0	0.7951666	-2.9535944	0.9618504	0.97316486	-1.8703862	21.2685489654541
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.625	35.0	500	2.6823888	1.1087692	5.1527147	-0.77270263	2.6822903	1.1068085	5.005535	-0.60687035	-1.6436781	-6.0	0.4817531	-3.721321	0.103768215	0.10513416	-5.651169	39.731125831604004
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3	35.0	750	3.0992122	1.1446085	4.881693	-1.0621059	3.099388	1.1433722	4.876368	-0.9251001	-1.4030855	-6.0	0.29499397	-3.7790353	0.086560994	0.08596341	-9.103135	59.25169277191162
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	35.0	1000	3.1870346	1.0833641	4.9386196	-0.8725184	3.187329	1.0822703	4.9311705	-0.9957365	-1.260608	-6.0	0.18134017	-3.644631	0.055804823	0.055585433	-12.456655	78.12608551979065
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.375	35.0	1250	3.100915	0.99906737	4.6584086	-0.842194	3.101045	0.9989404	4.674737	-0.7442566	-1.012932	-6.0	0.112033755	-3.433877	0.03443824	0.033661123	-15.412253	97.43759107589722
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.125	35.0	1500	2.9200242	0.9047342	4.3922544	-0.74338895	2.9200318	0.9040045	4.4400706	-0.6797912	-0.6723654	-6.0	0.06964017	-3.174175	0.023744386	0.02409073	-17.821524	116.5982391834259
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	1750	2.7217872	0.7805934	3.9917655	-0.6965335	2.721724	0.7803081	3.9863017	-0.60165125	-0.32185957	-6.0	0.043781716	-2.9246771	0.013961	0.014284603	-19.818132	135.1865291595459
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	2000	2.499444	0.6478182	3.5002875	-0.967817	2.4995725	0.64759105	3.4425051	-0.8140076	-0.046454627	-6.0	0.027664373	-2.6557772	0.010592439	0.010121259	-21.729902	154.30323934555054
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	2250	2.2747111	0.5252411	3.0775456	-0.6069998	2.274833	0.52507603	3.0393913	-0.56625223	0.23851615	-6.0	0.017554194	-2.4042532	0.004611604	0.0046563777	-23.338863	173.16013169288635
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	2500	2.0384686	0.44698542	2.6644104	-0.6922864	2.0384421	0.44646046	2.643169	-0.6939539	0.38786778	-6.0	0.011096483	-2.146634	0.003791492	0.00396433	-25.308073	191.78297924995422
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	2750	1.8351816	0.36319095	2.3823724	-0.93289644	1.8351531	0.36267993	2.3458695	-0.9863649	0.5849142	-6.0	0.006980937	-1.9113102	0.0027782822	0.002938979	-26.915504	210.53725576400757
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3000	1.6404483	0.30485496	2.0658214	-0.4971237	1.6404395	0.30417275	2.069346	-0.5887336	0.9373275	-6.0	0.0044298624	-1.6982135	0.0017378152	0.0018635693	-27.467012	229.65649938583374
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3250	1.4563655	0.2584734	1.8861722	-0.90567535	1.4564682	0.2588262	1.8352131	-0.759058	1.3693635	-6.0	0.002821261	-1.4968464	0.0023918601	0.0022072555	-27.157532	248.49285531044006
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3500	1.2804219	0.2161697	1.6817198	-1.226921	1.2803804	0.21619266	1.6656872	-1.1165407	2.577742	-6.0	0.0019262843	-1.313795	0.0024886208	0.002424386	-21.401613	267.2804753780365
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3750	1.1263337	0.18316479	1.4551611	-0.54914933	1.1263206	0.18308449	1.4505576	-0.61599445	2.7034938	-6.0	0.0013516018	-1.1508733	0.0014174666	0.0014245458	-21.813541	286.2066218852997
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	4000	0.98573303	0.14889315	1.2609667	-0.5975046	0.9857909	0.14798662	1.3363534	-0.51712316	2.5321252	-6.0	0.0008935708	-1.0041572	0.0014772388	0.0016171179	-24.335423	305.6180546283722
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	4250	0.860727	0.12991521	1.1046007	-0.50162745	0.8607108	0.12945703	1.1166545	-0.52080894	4.7901545	-6.0	0.00065828086	-0.87361294	0.0013841715	0.0012450081	-8.852518	324.5128643512726
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	33.35	4500	0.74876577	0.11370878	1.1032339	-0.5597612	0.74878085	0.11288037	1.1281255	-0.56798744	4.170799	-6.0	0.0005280148	-0.76007116	0.0013913838	0.0015202244	-13.818947	342.96438360214233
