Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Actor Noise	Time
1	0.01754386	0.13128623	1.0	0.0	0.0	0.0	0.0	0.0	4.2280703	25.0	250	0.293569	0.2934107	-0.46371895	0.20754384	0.88125	12.399488687515259
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	500	0.57534206	0.5751773	-0.7878605	0.10067534	0.7625	23.721588134765625
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	750	0.72668576	0.7263922	-0.8381329	0.060738124	0.64375	34.72194170951843
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	1000	0.77533376	0.77543163	-0.84860903	0.041493848	0.525	45.91540336608887
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	1250	0.7995054	0.79940957	-0.8486799	0.031228935	0.40624999999999994	56.436442136764526
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	1500	0.7994451	0.7993967	-0.83282125	0.02584257	0.2875	67.63819003105164
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	1750	0.7800093	0.78014916	-0.80951965	0.020776134	0.16875	78.18512415885925
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	2000	0.75825936	0.7582667	-0.7849373	0.017865267	0.05	89.97181057929993
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	2250	0.73985535	0.73987365	-0.7569619	0.014944948	0.05	100.01544165611267
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	2500	0.7151316	0.71509874	-0.73477226	0.012799549	0.05	111.74802279472351
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	2750	0.6972223	0.6972819	-0.714137	0.012757856	0.05	121.92727828025818
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	3000	0.67552143	0.6754628	-0.6889635	0.010671571	0.05	133.76930952072144
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	3250	0.65792865	0.6578966	-0.6666554	0.0087751495	0.05	144.40696167945862
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	3500	0.6340204	0.6340095	-0.6431492	0.009110171	0.05	155.91150832176208
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	3750	0.61283803	0.61287355	-0.62081563	0.0076561337	0.05	166.72709798812866
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	4000	0.59395945	0.5939112	-0.600788	0.00832751	0.05	177.60217690467834
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	4250	0.57643247	0.5764925	-0.5810665	0.0068830084	0.05	188.65968823432922
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	4500	0.5572695	0.557276	-0.56138545	0.0055969353	0.05	200.1290261745453
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	4750	0.5362873	0.53624856	-0.54039335	0.005436427	0.05	210.5236542224884
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	5000	0.51759803	0.5175426	-0.520649	0.0064057894	0.05	222.6916286945343
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	5250	0.50040144	0.500353	-0.50368804	0.0041488726	0.05	232.75885391235352
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	5500	0.4833526	0.483381	-0.4877587	0.004621371	0.05	244.62731385231018
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	5750	0.46841037	0.46842492	-0.47133029	0.0048070666	0.05	254.94930124282837
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	6000	0.45279795	0.4527419	-0.45469773	0.0043304763	0.05	266.6526942253113
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	6250	0.4373553	0.4373976	-0.43791568	0.003407985	0.05	276.9859540462494
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	6500	0.42365107	0.42366728	-0.42535034	0.0037334545	0.05	288.5395562648773
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	6750	0.40987843	0.4099022	-0.4104696	0.0045234524	0.05	299.33970379829407
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	7000	0.39532998	0.39532563	-0.39595336	0.0044132033	0.05	310.2751610279083
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	7250	0.38152277	0.38148057	-0.3801613	0.004302979	0.05	320.8396291732788
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	7500	0.36931914	0.36928678	-0.37008744	0.0036603769	0.05	332.49960374832153
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	7750	0.35749358	0.35746062	-0.3588671	0.0027753594	0.05	342.567182302475
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	8000	0.3455092	0.34554356	-0.34570786	0.0030589604	0.05	354.1571731567383
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	8250	0.3340792	0.33406842	-0.33319935	0.0034001244	0.05	364.54592204093933
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	8500	0.32259315	0.32259053	-0.3226376	0.0029060026	0.05	376.3648490905762
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	8750	0.3125325	0.31254923	-0.3130661	0.0026634503	0.05	386.76842522621155
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	9000	0.30245778	0.30244195	-0.30099937	0.0026622936	0.05	398.16469049453735
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	9250	0.29154956	0.29158276	-0.29131922	0.0025248006	0.05	408.72707509994507
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	9500	0.283784	0.28380853	-0.281617	0.0028310723	0.05	420.46598196029663
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	9750	0.2760153	0.27600712	-0.27376178	0.0029365683	0.05	431.15732431411743
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	10000	0.26521766	0.26519802	-0.2632534	0.0023428542	0.05	442.63924407958984
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	10250	0.25691026	0.2569237	-0.25569832	0.0019160719	0.05	453.08987975120544
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	10500	0.24779882	0.24779096	-0.2468432	0.0021652675	0.05	464.6787314414978
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	10750	0.23864983	0.23857528	-0.23807439	0.0026522488	0.05	475.1428744792938
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	11000	0.23218223	0.23220095	-0.23129654	0.0024463776	0.05	486.8625545501709
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	11250	0.22510031	0.2251134	-0.22392434	0.0018462503	0.05	497.34973526000977
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	11500	0.21765651	0.21767199	-0.21576798	0.0018691052	0.05	509.1167833805084
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	11750	0.21068089	0.2106929	-0.20829159	0.0018452788	0.05	519.5640954971313
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	12000	0.20278893	0.20276944	-0.20149997	0.0018533814	0.05	531.2828640937805
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	12250	0.19659193	0.19654702	-0.195086	0.0016600317	0.05	541.7701971530914
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	12500	0.1904889	0.19050577	-0.18868424	0.0020624404	0.05	553.3785331249237
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	12750	0.18323688	0.18327545	-0.18260369	0.0013847789	0.05	564.1312668323517
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	13000	0.17785418	0.17785583	-0.1768424	0.0016670509	0.05	575.7935140132904
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	13250	0.17300826	0.17299686	-0.17135735	0.0017374897	0.05	586.1684393882751
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	13500	0.16573375	0.16572402	-0.1645329	0.0017430341	0.05	597.7820591926575
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	13750	0.1594427	0.15944962	-0.15780336	0.0015520053	0.05	608.0796132087708
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	14000	0.15412052	0.15412603	-0.1531932	0.0015873614	0.05	619.8488297462463
57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	14250	0.14905427	0.14903483	-0.14845495	0.0016055863	0.05	630.3113298416138
58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	14500	0.14475337	0.14475511	-0.14348498	0.0015457241	0.05	642.1027634143829
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	14750	0.14081629	0.14080222	-0.13855682	0.0016872536	0.05	652.5999422073364
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	15000	0.13609666	0.136107	-0.13429639	0.0015469604	0.05	664.1896412372589
