Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.20512821	0.4037953	1.0	0.0	0.0	0.0	0.0	0.0	6.4358974	35.0	250	1.9305323	1.0658327	4.134888	-4.785098	1.9341673	1.0556313	4.080833	-4.085301	-1.7274873	-6.0	0.7964407	-3.348912	0.68718326	0.6766699	-1.8624063	21.396674394607544
2	0.3181818	0.46577048	1.0	0.0	0.0	0.0	0.0	0.0	10.954545	35.0	500	3.055103	1.1264212	5.131215	-0.55674934	3.055412	1.1293181	5.1678557	-0.63925683	-1.6577765	-6.0	0.48402575	-4.0952206	0.09223621	0.08980246	-5.621418	41.47378325462341
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8	35.0	750	3.4805288	1.1617675	5.34829	-0.9350046	3.4806612	1.163168	5.364445	-0.74937797	-1.3763238	-6.0	0.29716027	-4.162715	0.07559392	0.074392095	-9.0144205	60.97092938423157
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	1000	3.6981876	1.0926287	5.255258	-0.73638886	3.6980016	1.0946225	5.3275723	-0.7525687	-1.1952353	-6.0	0.18325494	-4.1923976	0.050442137	0.049337313	-12.268844	80.03045868873596
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.375	35.0	1250	3.6737278	0.97892827	5.011293	-0.81473804	3.673363	0.9800604	5.0547504	-0.79756874	-1.0188031	-6.0	0.1133567	-4.043368	0.028322205	0.028361088	-15.347316	99.7079668045044
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	1500	3.4649854	0.86525726	4.586575	-0.8032235	3.465067	0.86599505	4.5992446	-0.7778444	-0.8617974	-6.0	0.070085436	-3.7376547	0.019946331	0.019789506	-18.299671	119.62107872962952
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	1750	3.2036595	0.7338224	4.2630873	-0.69640905	3.2036335	0.73404473	4.2326546	-0.60316306	-0.7236556	-6.0	0.043375548	-3.410656	0.009473832	0.009270374	-21.157524	138.61852431297302
8	0.125	0.3307189	1.0	0.0	0.0	0.0	0.0	0.0	31.25	35.0	2000	2.9348955	0.60887253	3.7312706	-0.6944215	2.9348736	0.60891914	3.7150884	-0.72978264	-0.5998921	-6.0	0.026837964	-3.0865455	0.006725354	0.0066679353	-23.936367	157.73691058158875
9	0.1	0.29999998	1.0	0.0	0.0	0.0	0.0	0.0	28.4	35.0	2250	2.6390958	0.5189537	3.3425314	-0.68769556	2.6392198	0.51875496	3.298523	-0.5726259	-0.49471363	-6.0	0.016602833	-2.7495854	0.004661959	0.004376537	-26.678389	176.8302183151245
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	2500	2.3479457	0.4381194	2.9475324	-0.48600298	2.3479638	0.43824488	2.93516	-0.36480367	-0.18948418	-6.0	0.010276354	-2.4368136	0.0036485181	0.0034841876	-28.363531	195.8793351650238
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	2750	2.0849586	0.37522978	2.638725	-0.4379959	2.0849147	0.37566966	2.6525412	-0.47875115	0.013492864	-6.0	0.006466337	-2.1551008	0.0023949344	0.0024436426	-30.239305	215.04972457885742
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3000	1.8487229	0.30564463	2.3323522	-0.49778956	1.8487809	0.30566564	2.3357744	-0.41024175	0.34405017	-6.0	0.004053609	-1.9006784	0.0016049736	0.0015952127	-31.18762	234.16387915611267
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3250	1.6312872	0.25660825	2.1231549	-0.41609332	1.6312399	0.25678986	2.0945122	-0.42675105	0.58883804	-6.0	0.0025726133	-1.6693866	0.00108145	0.0009567592	-32.30964	253.19996070861816
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	3500	1.4327626	0.218757	1.7930542	-0.5503458	1.4327581	0.2191192	1.7830011	-0.77440387	0.79153746	-6.0	0.0016281825	-1.4616457	0.000792978	0.0008677294	-33.477577	272.26390838623047
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	33.45	3750	1.2652761	0.1763654	1.6056383	-0.25542074	1.2652744	0.17667884	1.6076165	-0.29788193	1.2529693	-6.0	0.0010404574	-1.2857082	0.00050344993	0.00045898766	-32.632885	291.0015137195587
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	4000	1.1123195	0.15246144	1.4023627	-0.523711	1.1122395	0.1524283	1.4086151	-0.60018694	1.9258972	-6.0	0.0006761509	-1.126371	0.0005804342	0.00076306524	-29.708916	310.01805424690247
17	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	35.0	26.95	4250	0.97486436	0.13132752	1.4518982	-0.48706692	0.9749046	0.13146006	1.2027298	-0.37670982	1.9911114	-6.0	0.00045114383	-0.9848443	0.00057845516	0.00044808985	-30.8797	327.7210340499878
18	0.09090909	0.2874798	1.0	0.0	0.15	0.35707143	1.0	0.0	23.09091	2.9	4500	0.8492816	0.11658788	1.366139	-0.6138708	0.8492626	0.1173301	1.2306755	-0.6333979	5.7739635	-6.0	0.0003427088	-0.8610975	0.0010491605	0.0010120833	-1.7723829	341.1073999404907
19	0.1764706	0.38122004	1.0	0.0	0.15	0.35707143	1.0	0.0	14.411765	16.4	4750	0.74356157	0.09809098	1.2270768	-0.8285012	0.7435482	0.09960161	1.2200651	-0.43669555	6.991799	-6.0	0.0003893763	-0.7547079	0.0018496218	0.0016575704	7.8611817	356.63656520843506
20	0.15384616	0.36080122	1.0	0.0	0.1	0.29999998	1.0	0.0	18.615385	31.6	5000	0.64700913	0.09803247	1.4607224	-0.418305	0.64706653	0.0997351	1.2830695	-0.56339043	5.4910274	-6.0	0.00039063508	-0.65395606	0.0014195978	0.001437048	-4.0100546	375.2815179824829
21	0.34375	0.47495887	1.0	0.0	0.4	0.48989794	1.0	0.0	7.5625	11.1	5250	0.5703953	0.10683508	1.3871592	-0.66379184	0.5703632	0.1063329	1.2023973	-0.6705013	8.77188	-6.0	0.00044772046	-0.57670885	0.003475438	0.0035346048	21.429964	390.14692091941833
22	0.525	0.4993746	1.0	0.0	0.3	0.4582576	1.0	0.0	6.75	11.6	5500	0.5282437	0.113091126	1.4505086	-0.2271161	0.52837026	0.114280954	1.6076022	-0.23389465	6.829733	-6.0	0.00059756456	-0.56247056	0.003151069	0.0030464581	6.194851	405.1281192302704
23	0.5833333	0.49300665	1.0	0.0	0.5	0.5	1.0	0.0	4.1833334	4.85	5750	0.52085227	0.13412829	1.3998216	-0.45516673	0.5206378	0.13438854	1.4170144	-0.3191875	5.5176444	-6.0	0.000607333	-0.5657701	0.0030796006	0.0032441937	-3.5844114	419.00390625
24	0.6865672	0.46388867	1.0	0.0	0.6	0.4898979	1.0	0.0	3.7462687	6.9	6000	0.55385166	0.15726505	1.2896094	-0.42543614	0.55396605	0.1574699	1.295858	-0.49865752	7.596395	-6.0	0.0006395618	-0.6241908	0.004109437	0.004057014	11.696818	433.1995496749878
25	0.72043014	0.44878793	1.0	0.0	0.85	0.35707143	1.0	0.0	2.688172	2.35	6250	0.58338255	0.17468819	1.3854237	-0.5050561	0.5832853	0.17390218	1.3808436	-0.38014543	6.250116	-6.0	0.0008656113	-0.63329995	0.0045977747	0.0047342386	1.7896959	447.1822316646576
26	0.8426966	0.36408654	1.0	0.0	0.85	0.35707143	1.0	0.0	2.786517	2.6	6500	0.58175004	0.20016886	1.6015114	-0.38566512	0.58205813	0.20054923	1.4497948	-0.35236514	5.24304	-6.0	0.0007490054	-0.63180363	0.0045625563	0.0042766454	-5.442562	460.95828580856323
27	0.7525773	0.4315144	1.0	0.0	0.8	0.4	1.0	0.0	2.5876288	2.25	6750	0.61395216	0.21350619	1.3661549	-0.35502672	0.6138811	0.21325462	1.3389481	-0.37373167	6.902147	-6.0	0.000770132	-0.68262124	0.004637965	0.004810112	6.467002	474.83506178855896
28	0.86419755	0.3425787	1.0	0.0	0.9	0.29999998	1.0	0.0	3.0864198	1.85	7000	0.6237077	0.22840983	1.4247547	-0.43482918	0.62377536	0.22786799	1.3296198	-0.6189533	5.476432	-6.0	0.0008115244	-0.67063904	0.00400963	0.004019106	-3.7191641	488.1868278980255
29	0.83076924	0.37495562	1.0	0.0	0.9	0.29999998	1.0	0.0	3.8615384	2.1	7250	0.64681715	0.229414	1.3784813	-0.6370043	0.64687806	0.22908497	1.4550707	-0.29990658	5.906475	-6.0	0.00073076284	-0.7033856	0.0040235827	0.0040814145	-0.6735836	501.48754692077637
