Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Actor Noise	Time
1	0.25	0.4330127	1.0	0.0	0.25	0.4330127	1.0	0.0	3.2894738	1.1	250	0.20953286	0.20935169	-0.39666024	0.11997213	0.88125	7.5351738929748535
2	0.24561404	0.43045068	1.0	0.0	0.4	0.48989797	1.0	0.0	1.1008772	1.05	500	0.38743806	0.38660344	-0.48171386	0.22810338	0.7625	16.966094493865967
3	0.2631579	0.44034737	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0964912	1.1	750	0.4849371	0.48445812	-0.5019551	0.1955704	0.64375	25.09921145439148
4	0.20689656	0.40508068	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0775862	1.1	1000	0.51957047	0.51956195	-0.5198616	0.17536013	0.525	33.91148781776428
5	0.23451327	0.42369425	1.0	0.0	0.2	0.4	1.0	0.0	1.1017699	1.0	1250	0.53533554	0.5350392	-0.53853416	0.16531715	0.40624999999999994	41.50582838058472
6	0.25110132	0.43364668	1.0	0.0	0.4	0.489898	1.0	0.0	1.1057268	1.1	1500	0.5345029	0.5344074	-0.532655	0.1565912	0.2875	50.28873348236084
7	0.2631579	0.44034737	1.0	0.0	0.2	0.4	1.0	0.0	1.0964912	1.05	1750	0.5433656	0.5433093	-0.61052513	0.15614122	0.16875	57.820671796798706
8	0.2117117	0.40852156	1.0	0.0	0.45	0.4974937	1.0	0.0	1.1261262	1.25	2000	0.55410415	0.5541201	-0.5746522	0.1567308	0.05	66.55429816246033
9	0.23275863	0.42258966	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0775862	1.15	2250	0.5430191	0.54320574	-0.5159563	0.15370527	0.05	73.88309836387634
10	0.33189654	0.4708941	1.0	0.0	0.35	0.47696957	1.0	0.0	1.0775862	1.0	2500	0.55363137	0.5536773	-0.4976012	0.13144359	0.05	82.12621688842773
11	0.278481	0.4482514	1.0	0.0	0.2	0.4	1.0	0.0	1.0548524	1.1	2750	0.56427383	0.56455535	-0.4885288	0.13295072	0.05	90.13758397102356
12	0.25652173	0.4367131	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0869565	1.05	3000	0.55242383	0.5524954	-0.5004667	0.12932357	0.05	98.06838583946228
13	0.26548672	0.44159204	1.0	0.0	0.35	0.4769696	1.0	0.0	1.1061947	1.05	3250	0.5644239	0.56440765	-0.49056017	0.117441416	0.05	105.46802568435669
14	0.28444445	0.4511494	1.0	0.0	0.25	0.4330127	1.0	0.0	1.1111112	1.15	3500	0.5605421	0.56053907	-0.4739239	0.11022817	0.05	114.18768763542175
15	0.23245615	0.42239827	1.0	0.0	0.3	0.4582576	1.0	0.0	1.0964912	1.1	3750	0.5559713	0.55570567	-0.4762476	0.09659323	0.05	121.35838794708252
16	0.19130434	0.39332813	1.0	0.0	0.3	0.4582576	1.0	0.0	1.0869565	1.05	4000	0.55891365	0.5587885	-0.48229593	0.08216644	0.05	130.0099334716797
17	0.2532189	0.43485525	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0729613	1.05	4250	0.55356395	0.55371267	-0.47107565	0.07066507	0.05	136.8466579914093
18	0.26839826	0.44312593	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0822511	1.0	4500	0.5556143	0.555767	-0.4650675	0.058445722	0.05	145.42041063308716
19	0.26609442	0.4419142	1.0	0.0	0.2	0.4	1.0	0.0	1.0729613	1.05	4750	0.54618126	0.54620403	-0.46769077	0.048627134	0.05	152.36193013191223
20	0.2489083	0.4323806	1.0	0.0	0.35	0.47696957	1.0	0.0	1.091703	1.1	5000	0.55732095	0.55754334	-0.46893024	0.038264476	0.05	160.4743926525116
21	0.23109244	0.4215314	1.0	0.0	0.3	0.4582576	1.0	0.0	1.0504202	1.2	5250	0.5605608	0.5601859	-0.4716858	0.033038095	0.05	167.99326395988464
22	0.24122807	0.42782834	1.0	0.0	0.2	0.4	1.0	0.0	1.0964912	1.2	5500	0.55042964	0.55060387	-0.46595865	0.0289916	0.05	175.69778990745544
23	0.21304348	0.4094581	1.0	0.0	0.1	0.29999998	1.0	0.0	1.0869565	1.05	5750	0.55375594	0.55375886	-0.46452716	0.023721727	0.05	182.87408351898193
