Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
1	0.0	0.0	0.0	0.0	0.05	0.21794493	1.0	0.0	6.097561	2.95	250	-0.0243255	0.46200997	1.2298274	-0.64758074	0.01208731	0.8875	7.503005266189575
2	0.020408163	0.14139192	1.0	0.0	0.15	0.35707143	1.0	0.0	5.122449	4.5	500	1.1157362	2.1112368	1.7057937	-0.48819846	0.014270957	0.775	14.07166862487793
3	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	6.5263157	6.35	750	1.7451081	3.1860936	1.4906183	-0.3964361	0.008369042	0.6625	20.981342792510986
4	0.03448276	0.1824656	1.0	0.0	0.05	0.21794493	1.0	0.0	8.655172	6.55	1000	2.1681776	3.923382	1.3983072	-0.43710726	0.0053103655	0.55	27.956658124923706
5	0.09375	0.2914806	1.0	0.0	0.45	0.49749368	1.0	0.0	7.6875	14.7	1250	2.51642	4.5370226	1.3179742	-0.45357907	0.0036186068	0.4375	36.39476823806763
6	0.21052632	0.40768245	1.0	0.0	0.2	0.4	1.0	0.0	12.421053	12.75	1500	2.775868	4.9961104	1.3206799	-0.523871	0.0027289528	0.325	44.42056941986084
7	0.0952381	0.29354352	1.0	0.0	0.2	0.4	1.0	0.0	11.857142	16.55	1750	2.8792071	5.1777997	1.5223167	-0.56934905	0.001991653	0.21250000000000002	53.41383767127991
8	0.16666667	0.37267798	1.0	0.0	0.3	0.45825756	1.0	0.0	14.833333	12.8	2000	3.0231547	5.433032	1.8247066	-0.56227815	0.001589816	0.1	61.830724477767944
9	0.375	0.48412293	1.0	0.0	0.25	0.4330127	1.0	0.0	15.75	15.55	2250	3.0742037	5.5237274	1.882189	-0.4858488	0.0016409962	0.1	70.81650567054749
10	0.25	0.4330127	1.0	0.0	0.5	0.5	1.0	0.0	14.6875	16.6	2500	3.1978414	5.744654	1.9000205	-0.5291331	0.0014434975	0.1	79.77601146697998
11	0.21428572	0.41032588	1.0	0.0	0.4	0.48989794	1.0	0.0	18.142857	17.35	2750	3.3064785	5.938232	1.9026015	-0.42276233	0.001361006	0.1	88.93872570991516
12	0.36842105	0.48237637	1.0	0.0	0.35	0.47696957	1.0	0.0	13.0	13.85	3000	3.2702005	5.8722734	1.9188058	-0.38255164	0.0009088106	0.1	97.30428290367126
13	0.42857143	0.49487162	1.0	0.0	0.2	0.4	1.0	0.0	18.0	18.5	3250	3.2530642	5.8412127	1.8270385	-0.4373039	0.0008638869	0.1	106.51436018943787
14	0.47058824	0.4991342	1.0	0.0	0.45	0.49749368	1.0	0.0	14.176471	15.35	3500	3.226454	5.7933116	1.8746592	-0.40084344	0.00092277885	0.1	115.25825357437134
15	0.5294118	0.49913418	1.0	0.0	0.5	0.5	1.0	0.0	14.588235	14.35	3750	3.210498	5.764652	1.714783	-0.47729072	0.00075218617	0.1	123.70310544967651
16	0.3809524	0.48562095	1.0	0.0	0.6	0.48989794	1.0	0.0	12.190476	13.7	4000	3.1791856	5.7083473	1.8840141	-0.4426325	0.0008837489	0.1	132.109135389328
17	0.4090909	0.4916661	1.0	0.0	0.45	0.4974937	1.0	0.0	11.909091	15.05	4250	3.1942427	5.7353992	1.8167593	-0.45576203	0.0008040969	0.1	140.5213007926941
18	0.47368422	0.49930704	1.0	0.0	0.3	0.45825756	1.0	0.0	12.894737	16.4	4500	3.1494107	5.655089	1.8537506	-0.4924705	0.0008499065	0.1	149.38280487060547
19	0.6086956	0.4880423	1.0	0.0	0.5	0.5	1.0	0.0	11.347826	13.1	4750	3.1780646	5.7065663	1.9706326	-0.4622975	0.0009118189	0.1	157.63402771949768
20	0.52380955	0.4994328	1.0	0.0	0.55	0.49749368	1.0	0.0	11.285714	13.55	5000	3.1327758	5.62579	1.8749528	-0.5207292	0.00089418306	0.1	165.98847031593323
21	0.6956522	0.46013066	1.0	0.0	0.55	0.4974937	1.0	0.0	11.434783	11.85	5250	3.1755514	5.702606	1.9662222	-0.5020603	0.00084364496	0.1	173.8778018951416
22	0.68	0.46647614	1.0	0.0	0.5	0.5	1.0	0.0	9.72	14.35	5500	3.130745	5.6223917	1.7422309	-0.55801076	0.00091839314	0.1	182.20422172546387
23	0.6666667	0.47140455	1.0	0.0	0.65	0.4769696	1.0	0.0	11.761905	10.6	5750	3.1106782	5.5872707	1.912667	-0.552497	0.0010566508	0.1	190.0332314968109
24	0.625	0.48412293	1.0	0.0	0.45	0.49749368	1.0	0.0	9.875	12.9	6000	3.1294873	5.620902	1.796534	-0.6101384	0.0009754057	0.1	198.25869035720825
25	0.45	0.4974937	1.0	0.0	0.6	0.4898979	1.0	0.0	12.7	12.5	6250	3.1227577	5.6084948	1.8917549	-0.5719118	0.0010909293	0.1	206.48995733261108
26	0.6315789	0.48237637	1.0	0.0	0.7	0.4582576	1.0	0.0	14.052631	10.35	6500	3.124543	5.612324	1.7660916	-0.5292933	0.0009485599	0.1	214.10000205039978
27	0.65	0.47696957	1.0	0.0	0.4	0.4898979	1.0	0.0	12.0	14.45	6750	3.1520572	5.661246	1.9263568	-0.54648286	0.0009544671	0.1	222.53034853935242
28	0.6363636	0.48104566	1.0	0.0	0.65	0.4769696	1.0	0.0	11.727273	14.35	7000	3.1722033	5.6973753	1.7855647	-0.50222754	0.0010284429	0.1	230.9900505542755
29	0.71428573	0.45175394	1.0	0.0	0.8	0.4	1.0	0.0	11.380953	12.0	7250	3.18405	5.718218	1.9164962	-0.52881444	0.0010083031	0.1	238.89567875862122
30	0.6363636	0.48104566	1.0	0.0	0.8	0.4	1.0	0.0	11.818182	8.05	7500	3.142707	5.6438937	1.9682856	-0.41276485	0.00090549	0.1	246.15504813194275
31	0.6923077	0.46153846	1.0	0.0	0.8	0.4	1.0	0.0	9.5	7.65	7750	3.1245537	5.6114388	1.9092984	-0.5041157	0.0010877888	0.1	253.3273434638977
32	0.5652174	0.49572846	1.0	0.0	0.55	0.49749368	1.0	0.0	10.956522	12.5	8000	3.1435556	5.64548	1.7835362	-0.52756417	0.0010398026	0.1	261.4413015842438
33	0.60714287	0.48838556	1.0	0.0	0.75	0.4330127	1.0	0.0	9.142858	11.4	8250	3.1470027	5.65158	1.932375	-0.5166967	0.0009861243	0.1	269.2764530181885
34	0.6666667	0.47140455	1.0	0.0	0.55	0.49749368	1.0	0.0	8.481482	12.25	8500	3.1020453	5.571498	1.8556755	-0.44390094	0.0011523442	0.1	277.2323501110077
35	0.7777778	0.4157397	1.0	0.0	0.75	0.4330127	1.0	0.0	9.407408	10.3	8750	3.085978	5.5424104	1.9516459	-0.39868456	0.0011799334	0.1	284.99938702583313
36	0.72	0.4489989	1.0	0.0	1.0	0.0	1.0	1.0	10.56	8.35	9000	3.0652761	5.5055194	1.8527071	-0.41976884	0.0011247232	0.1	292.3600368499756
37	0.6363636	0.48104563	1.0	0.0	0.7	0.4582576	1.0	0.0	11.5	11.35	9250	3.0982482	5.5648637	1.9773502	-0.43251145	0.0009548728	0.1	300.2477009296417
38	0.8	0.4	1.0	0.0	0.75	0.4330127	1.0	0.0	12.15	12.25	9500	3.0965815	5.561165	2.0422199	-0.35493237	0.0009206355	0.1	308.32314348220825
39	0.78571427	0.41032588	1.0	0.0	0.9	0.29999998	1.0	0.0	8.75	9.8	9750	3.0520442	5.48201	1.6206956	-0.4360906	0.0009501218	0.1	315.99099683761597
40	0.8666667	0.33993462	1.0	0.0	0.8	0.4	1.0	0.0	8.033334	9.4	10000	3.1008012	5.5703783	1.9912379	-0.42773882	0.0011998272	0.1	323.62688422203064
41	0.6923077	0.46153846	1.0	0.0	0.75	0.4330127	1.0	0.0	10.0	8.85	10250	3.084131	5.5401616	2.0404303	-0.45022827	0.0012387738	0.1	331.10066652297974
42	0.7692308	0.42132506	1.0	0.0	0.65	0.4769696	1.0	0.0	9.884615	11.95	10500	3.1291978	5.6207805	2.0677705	-0.46539894	0.0011477391	0.1	339.1163504123688
43	0.72	0.4489989	1.0	0.0	0.85	0.35707143	1.0	0.0	9.8	10.6	10750	3.1316662	5.6255684	1.9822817	-0.43956515	0.0010115203	0.1	346.82802844047546
44	0.8214286	0.38299304	1.0	0.0	0.7	0.45825756	1.0	0.0	9.071428	8.15	11000	3.1846156	5.720485	2.0795395	-0.4602294	0.0009866196	0.1	354.02894830703735
45	0.83870965	0.3677985	1.0	0.0	0.95	0.21794493	1.0	0.0	8.0	6.75	11250	3.2313042	5.803588	1.9261761	-0.39262718	0.00096776435	0.1	361.02971386909485
46	0.77272725	0.4190702	1.0	0.0	0.75	0.4330127	1.0	0.0	10.681818	7.85	11500	3.2895255	5.9081554	1.9282136	-0.45300058	0.0009646194	0.1	368.1950914859772
47	0.8857143	0.31815797	1.0	0.0	0.8	0.4	1.0	0.0	7.6857142	7.6	11750	3.2867165	5.902346	2.1184914	-0.45363545	0.0009424593	0.1	375.47434425354004
48	0.73913044	0.4391089	1.0	0.0	0.9	0.29999998	1.0	0.0	10.0	8.15	12000	3.2930713	5.9136853	2.107431	-0.4381118	0.00080451544	0.1	382.6320915222168
49	0.9705882	0.16895773	1.0	0.0	0.95	0.21794493	1.0	0.0	7.9411764	7.75	12250	3.3100762	5.9436307	1.8864894	-0.38554105	0.00077447714	0.1	389.9720537662506
50	0.96666664	0.17950548	1.0	0.0	0.85	0.35707143	1.0	0.0	8.433333	7.85	12500	3.3317406	5.982397	1.8729328	-0.382416	0.0007312468	0.1	397.28245878219604
51	0.73913044	0.4391089	1.0	0.0	0.9	0.29999998	1.0	0.0	10.608696	9.1	12750	3.3106182	5.943993	1.9021503	-0.43749797	0.00070544373	0.1	404.68022298812866
52	0.7837838	0.41166347	1.0	0.0	0.85	0.35707143	1.0	0.0	6.891892	9.65	13000	3.2716362	5.874816	1.766183	-0.43512547	0.00077290024	0.1	412.38214349746704
53	0.7714286	0.41991252	1.0	0.0	0.85	0.35707143	1.0	0.0	6.885714	7.85	13250	3.3474638	6.0106807	1.9687145	-0.3931694	0.00075954717	0.1	419.7148861885071
54	0.9032258	0.29565006	1.0	0.0	0.9	0.29999998	1.0	0.0	8.387096	9.1	13500	3.3397028	5.9968324	1.8701224	-0.42382628	0.000727991	0.1	427.22517442703247
55	0.8857143	0.31815797	1.0	0.0	0.85	0.35707143	1.0	0.0	6.7714286	8.5	13750	3.315749	5.953475	1.877832	-0.41684434	0.00068701507	0.1	434.6443655490875
56	0.96428573	0.18557684	1.0	0.0	0.85	0.35707143	1.0	0.0	9.142858	6.65	14000	3.2912097	5.909722	1.9473063	-0.41551524	0.00072415033	0.1	441.54224586486816
57	0.8611111	0.34583053	1.0	0.0	0.9	0.29999998	1.0	0.0	7.0555553	5.9	14250	3.3180804	5.9577956	2.1198597	-0.38801873	0.000694012	0.1	448.4872715473175
58	0.78571427	0.41032588	1.0	0.0	0.95	0.21794493	1.0	0.0	8.714286	7.5	14500	3.3249013	5.969777	2.082133	-0.46098724	0.00078738393	0.1	455.62431240081787
59	0.8857143	0.31815797	1.0	0.0	0.9	0.29999998	1.0	0.0	7.3428574	8.6	14750	3.35293	6.0207543	2.2546163	-0.405082	0.00086024345	0.1	463.0469136238098
60	0.8064516	0.39507896	1.0	0.0	0.85	0.35707143	1.0	0.0	8.064516	8.95	15000	3.3807673	6.070209	1.7883604	-0.40374124	0.000939354	0.1	470.3230721950531
61	0.7941176	0.4043449	1.0	0.0	0.95	0.21794493	1.0	0.0	7.0	6.15	15250	3.373894	6.0585976	1.8014424	-0.39548397	0.00079998147	0.1	477.0796823501587
62	0.8666667	0.33993462	1.0	0.0	0.85	0.35707143	1.0	0.0	8.566667	9.4	15500	3.3763504	6.062358	1.9326091	-0.42131156	0.0007273673	0.1	484.56498432159424
63	0.81578946	0.3876558	1.0	0.0	1.0	0.0	1.0	1.0	6.6578946	7.7	15750	3.36608	6.044272	1.8572849	-0.36762643	0.00070266606	0.1	491.89161229133606
64	0.95	0.21794496	1.0	0.0	1.0	0.0	1.0	1.0	6.3	7.05	16000	3.3437965	6.0046654	2.0075374	-0.44274348	0.0006989311	0.1	499.10492968559265
65	0.90909094	0.2874798	1.0	0.0	0.85	0.35707143	1.0	0.0	7.5757575	6.6	16250	3.3776846	6.065334	1.9152918	-0.4096619	0.00070538546	0.1	506.20125126838684
66	0.9375	0.24206147	1.0	0.0	0.8	0.4	1.0	0.0	7.875	8.4	16500	3.4339664	6.165655	1.8866625	-0.47062826	0.00067228137	0.1	513.6269912719727
67	0.75	0.4330127	1.0	0.0	0.85	0.35707143	1.0	0.0	8.928572	9.75	16750	3.4530268	6.199853	2.0016599	-0.38419965	0.0006704081	0.1	520.983803987503
68	0.9259259	0.2618914	1.0	0.0	0.8	0.4	1.0	0.0	9.259259	7.3	17000	3.4739575	6.237353	1.6862388	-0.42157418	0.00065136043	0.1	528.0042068958282
69	0.9032258	0.29565006	1.0	0.0	1.0	0.0	1.0	1.0	8.0	5.9	17250	3.42808	6.15541	1.9421824	-0.40684038	0.00053111685	0.1	534.8848283290863
70	0.8787879	0.3263736	1.0	0.0	0.9	0.29999998	1.0	0.0	7.5757575	8.7	17500	3.4379473	6.1728888	1.8353457	-0.42944568	0.00053561677	0.1	542.407511472702
71	0.8235294	0.38122004	1.0	0.0	0.75	0.4330127	1.0	0.0	7.382353	9.65	17750	3.417917	6.13679	1.9211807	-0.4698341	0.0005281524	0.1	550.0769529342651
72	0.84375	0.36309218	1.0	0.0	0.9	0.29999998	1.0	0.0	7.65625	9.5	18000	3.4376025	6.172571	1.6974363	-0.44442245	0.0006009746	0.1	557.856005191803
73	0.875	0.3307189	1.0	0.0	0.9	0.29999998	1.0	0.0	10.541667	5.55	18250	3.4317343	6.162071	1.8736548	-0.4292653	0.00060505903	0.1	564.6202433109283
74	0.8965517	0.3045435	1.0	0.0	0.9	0.29999998	1.0	0.0	8.586206	8.0	18500	3.4275436	6.154624	2.0087328	-0.39424843	0.00064314145	0.1	571.8584833145142
75	0.8484849	0.3585503	1.0	0.0	1.0	0.0	1.0	1.0	7.4848485	6.8	18750	3.4092305	6.1215987	1.8587005	-0.47431153	0.00065729476	0.1	578.9766659736633
76	0.9	0.29999998	1.0	0.0	0.95	0.21794495	1.0	0.0	6.275	6.45	19000	3.4321344	6.162946	2.0721765	-0.38390866	0.00064902863	0.1	586.163467168808
77	0.89285713	0.3092948	1.0	0.0	0.95	0.21794493	1.0	0.0	8.928572	8.55	19250	3.4231596	6.146946	1.8233004	-0.41996944	0.000705009	0.1	593.3592853546143
78	0.9375	0.24206147	1.0	0.0	0.85	0.35707143	1.0	0.0	7.90625	6.0	19500	3.4343178	6.166662	1.8269844	-0.4634304	0.0006217821	0.1	600.0699543952942
79	0.8648649	0.34186783	1.0	0.0	0.9	0.29999998	1.0	0.0	6.783784	7.8	19750	3.4644692	6.2207327	1.9010295	-0.41325384	0.0005797507	0.1	607.4148027896881
80	0.9	0.29999998	1.0	0.0	0.95	0.21794493	1.0	0.0	6.3	7.5	20000	3.4362874	6.1706543	1.9666636	-0.4112461	0.00055644306	0.1	614.6902632713318
81	0.80487806	0.39629456	1.0	0.0	1.0	0.0	1.0	1.0	6.0731707	6.0	20250	3.431258	6.161726	1.964647	-0.4438147	0.00058874715	0.1	621.767361164093
82	0.8684211	0.33803242	1.0	0.0	0.9	0.29999998	1.0	0.0	6.2105265	7.4	20500	3.4099348	6.1231914	1.955015	-0.485606	0.0005649039	0.1	629.0408215522766
83	0.9166667	0.2763854	1.0	0.0	0.9	0.29999998	1.0	0.0	7.2777777	6.35	20750	3.4075444	6.1188855	1.8330027	-0.40895346	0.00055576756	0.1	636.0794808864594
84	0.9189189	0.2729596	1.0	0.0	0.75	0.4330127	1.0	0.0	6.6216216	9.55	21000	3.381157	6.071593	1.8348818	-0.45749974	0.00058796315	0.1	643.7190754413605
85	0.9459459	0.22612432	1.0	0.0	0.9	0.29999998	1.0	0.0	6.918919	6.5	21250	3.3589506	6.0319443	1.7252088	-0.5280427	0.0005634624	0.1	650.797688961029
86	0.7647059	0.42418247	1.0	0.0	1.0	0.0	1.0	1.0	7.117647	6.55	21500	3.3774536	6.0654364	1.8585963	-0.5115792	0.00065420574	0.1	657.8565781116486
87	0.9142857	0.27994168	1.0	0.0	1.0	0.0	1.0	1.0	7.285714	6.4	21750	3.3812685	6.0722013	1.8296342	-0.46250093	0.00070243253	0.1	664.8520059585571
88	0.9411765	0.23529413	1.0	0.0	0.9	0.29999998	1.0	0.0	7.5	7.9	22000	3.3961596	6.0988126	1.9323277	-0.4454527	0.00052431645	0.1	672.1756534576416
89	0.8857143	0.31815797	1.0	0.0	1.0	0.0	1.0	1.0	7.0857143	6.55	22250	3.4229846	6.146814	1.9667542	-0.46271342	0.00062242267	0.1	679.2355992794037
90	0.79310346	0.40508068	1.0	0.0	0.95	0.21794493	1.0	0.0	8.5172415	7.2	22500	3.4027932	6.1106963	1.8423855	-0.4857167	0.00058134634	0.1	686.4149880409241
91	0.8857143	0.31815797	1.0	0.0	0.85	0.35707143	1.0	0.0	7.2	6.95	22750	3.4158556	6.1340075	1.9565115	-0.46862566	0.0004916	0.1	693.4619877338409
92	0.90909094	0.2874798	1.0	0.0	1.0	0.0	1.0	1.0	7.3636365	6.55	23000	3.4395936	6.1769037	1.6674604	-0.53152126	0.00056866946	0.1	700.4893820285797
93	0.8863636	0.3173691	1.0	0.0	1.0	0.0	1.0	1.0	5.840909	6.05	23250	3.436741	6.1716723	2.3389006	-0.46198806	0.0005659843	0.1	707.4912760257721
94	0.9302326	0.2547547	1.0	0.0	0.95	0.21794493	1.0	0.0	5.7906976	7.55	23500	3.3905096	6.089251	2.1124678	-0.47756714	0.00063561037	0.1	714.7747569084167
95	0.90697676	0.29046503	1.0	0.0	0.95	0.21794493	1.0	0.0	5.837209	7.1	23750	3.3885992	6.0854163	1.999273	-0.4678017	0.00061951944	0.1	722.0759682655334
96	0.92105263	0.2696566	1.0	0.0	0.95	0.21794493	1.0	0.0	6.631579	6.95	24000	3.4183142	6.1385765	1.8880055	-0.5019749	0.00059960963	0.1	729.2647593021393
97	0.8292683	0.37627435	1.0	0.0	0.85	0.35707143	1.0	0.0	6.0731707	6.55	24250	3.421494	6.1443925	1.7141106	-0.49711502	0.00049670244	0.1	736.224714756012
98	0.8717949	0.33431807	1.0	0.0	0.85	0.35707143	1.0	0.0	6.4615383	6.4	24500	3.4115298	6.126769	2.2073035	-0.49688435	0.0005683899	0.1	743.2175126075745
99	0.9117647	0.2836368	1.0	0.0	1.0	0.0	1.0	1.0	7.117647	6.9	24750	3.4439669	6.185083	1.752396	-0.70051414	0.0005852759	0.1	750.3631255626678
