Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	25.0	250	1.397843	0.40855893	2.7014513	-0.18240924	1.397111	0.40843764	2.5353897	-0.14390515	1.5670246	0.16094379	0.9248029	-2.8910048	0.019580714	0.019286003	-0.12294901	15.182777404785156
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.375	25.0	500	1.2564595	0.319219	1.987885	-0.3442316	1.2566507	0.3195674	1.9855013	-0.26567116	1.5410557	0.16094379	0.56356424	-2.173793	0.007930197	0.0071684294	-0.8049221	28.944685459136963
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2	22.6	750	0.9096953	0.20374252	1.6237365	-0.21195266	0.90980434	0.20729358	1.6634856	-0.18596236	1.5435989	0.16094379	0.3432043	-1.4513426	0.0050650313	0.0038779345	-1.4930995	41.76483178138733
4	0.045454547	0.20829889	1.0	0.0	0.1	0.29999998	1.0	0.0	11.545455	18.05	1000	0.61016214	0.14197423	1.1675339	-0.26228398	0.6103462	0.14902632	1.1737076	-0.2438701	1.5466264	0.16094379	0.20827383	-0.9317257	0.0035566369	0.002546318	-2.1879644	53.7595374584198
5	0.028571429	0.16659863	1.0	0.0	0.1	0.29999998	1.0	0.0	7.0	7.15	1250	0.41187945	0.14140712	1.2413901	-0.2287471	0.4120078	0.14604361	1.1962426	-0.29357806	1.4819651	0.16094379	0.1271539	-0.6124148	0.0031562033	0.0028168198	-2.7326694	63.929277658462524
6	0.051282052	0.22057247	1.0	0.0	0.05	0.21794493	1.0	0.0	6.6153846	6.3	1500	0.3057665	0.17424646	1.2143477	-0.25811163	0.3057984	0.1754237	1.2000753	-0.42691576	1.3412713	0.16094379	0.07984079	-0.44386932	0.0030656825	0.002959433	-2.9878259	73.85131525993347
7	0.121212125	0.32637364	1.0	0.0	0.1	0.29999998	1.0	0.0	3.7727273	2.2	1750	0.258307	0.20277247	1.2977808	-0.3328771	0.2583648	0.20411104	1.2906326	-0.20469394	1.1674812	0.16094379	0.052016933	-0.36146432	0.0034208433	0.0031915165	-2.977646	83.18611359596252
8	0.06666667	0.24944381	1.0	0.0	0.1	0.29999998	1.0	0.0	3.3066666	6.7	2000	0.24683008	0.2387836	1.3081694	-0.36959225	0.24690986	0.24104634	1.3332783	-0.3109791	0.9626204	0.16094379	0.035323072	-0.33041677	0.004011905	0.0034823099	-2.6799092	93.49889874458313
9	0.10769231	0.30999142	1.0	0.0	0.1	0.29999998	1.0	0.0	3.8615384	3.45	2250	0.24493875	0.25950134	1.2433337	-0.356167	0.24489707	0.26125005	1.2959721	-0.33798167	0.7864386	0.16094379	0.025062012	-0.3230214	0.0038155953	0.0035553547	-2.3046324	103.17553353309631
10	0.27450982	0.44626695	1.0	0.0	0.3	0.45825756	1.0	0.0	4.9215684	6.55	2500	0.25016725	0.2699923	1.2943761	-0.26392597	0.2502535	0.27086082	1.2174957	-0.26551273	0.6065401	0.16094379	0.018561302	-0.32549366	0.003099883	0.0029032205	-1.7737687	113.36061191558838
11	0.22222222	0.4157397	1.0	0.0	0.1	0.29999998	1.0	0.0	5.4888887	5.85	2750	0.24782941	0.276138	1.2181902	-0.29905576	0.24782458	0.27749404	1.2110273	-0.2768019	0.47754163	0.16094379	0.014460438	-0.32263148	0.0025352268	0.0022533243	-1.339495	123.10284757614136
12	0.18	0.38418746	1.0	0.0	0.35	0.4769696	1.0	0.0	4.94	5.4	3000	0.25353235	0.2826681	1.2722172	-0.26531747	0.25359404	0.28372604	1.2504839	-0.2112894	0.4081269	0.16094379	0.011581561	-0.32706282	0.0022912133	0.0020772105	-1.1014849	132.9670877456665
13	0.19512194	0.39629456	1.0	0.0	0.35	0.4769696	1.0	0.0	6.121951	3.3	3250	0.25309262	0.2873197	1.191902	-0.21320593	0.25313145	0.2883051	1.2127459	-0.20170283	0.36570892	0.16094379	0.009313216	-0.32255158	0.0019958548	0.0018295464	-0.9577716	142.3728575706482
14	0.25641027	0.43665096	1.0	0.0	0.35	0.4769696	1.0	0.0	6.4615383	5.05	3500	0.2528636	0.2900678	1.1505338	-0.28898224	0.25279698	0.290718	1.2066201	-0.24918583	0.32195607	0.16094379	0.0074735982	-0.3233277	0.0017005195	0.0015367813	-0.78823394	151.93581676483154
15	0.24528302	0.43025485	1.0	0.0	0.2	0.4	1.0	0.0	4.6415095	6.45	3750	0.25561172	0.29455018	1.1508491	-0.33647248	0.25568163	0.2949943	1.2002383	-0.27278218	0.3006523	0.16094379	0.006004086	-0.31978732	0.0018300733	0.001712924	-0.7144376	161.86424255371094
16	0.3962264	0.48911256	1.0	0.0	0.55	0.4974937	1.0	0.0	4.8490567	6.15	4000	0.25718018	0.29665965	1.1808286	-0.25926718	0.25711834	0.2968862	1.1897544	-0.23053983	0.27730158	0.16094379	0.0047690137	-0.3191301	0.0017911762	0.0017329986	-0.6210649	171.57309007644653
17	0.5	0.5	1.0	0.0	0.45	0.4974937	1.0	0.0	5.4565215	9.15	4250	0.2601405	0.30022374	1.1968216	-0.21999568	0.2601343	0.30086437	1.2533977	-0.21587028	0.26159602	0.16094379	0.0038246578	-0.3198346	0.0018212536	0.0017181243	-0.5602765	181.87242102622986
18	0.5135135	0.49981737	1.0	0.0	0.4	0.48989797	1.0	0.0	6.675676	7.35	4500	0.25670055	0.3021302	1.2468133	-0.24689817	0.25679797	0.30279934	1.2317187	-0.24901474	0.2593175	0.16094379	0.0029674687	-0.31665978	0.0016171162	0.0015495938	-0.57228285	192.02145767211914
19	0.44444445	0.49690405	1.0	0.0	0.55	0.4974937	1.0	0.0	5.5111113	7.85	4750	0.25874165	0.30366737	1.4428637	-0.20190167	0.2587181	0.30392548	1.4596729	-0.20812222	0.23229496	0.16094379	0.002315786	-0.31682578	0.0015137692	0.0014000175	-0.43298236	202.07756328582764
20	0.6060606	0.48862168	1.0	0.0	0.4	0.48989797	1.0	0.0	7.5454545	4.55	5000	0.25631115	0.30410525	1.4321127	-0.22864299	0.25626013	0.30460384	1.3991141	-0.19715276	0.22888714	0.16094379	0.001821363	-0.3131804	0.0013921405	0.0012474201	-0.42881337	211.5500452518463
21	0.44	0.49638695	1.0	0.0	0.5	0.5	1.0	0.0	5.12	8.6	5250	0.25355902	0.3032512	1.5104336	-0.26232058	0.25365785	0.30366367	1.5504949	-0.27622032	0.22065973	0.16094379	0.0013978925	-0.30980828	0.0013851869	0.0013706964	-0.39221618	221.82143998146057
22	0.4888889	0.49987656	1.0	0.0	0.5	0.5	1.0	0.0	5.3333335	7.8	5500	0.2602376	0.30670473	1.507157	-0.29018405	0.260169	0.30657065	1.4652699	-0.2279458	0.20304297	0.16094379	0.0011107806	-0.31451315	0.0014814296	0.0014886399	-0.28639033	232.06745195388794
23	0.5882353	0.49215293	1.0	0.0	0.65	0.4769696	1.0	0.0	7.470588	6.6	5750	0.25691134	0.30629078	1.4643863	-0.23657954	0.25689238	0.3066517	1.4685599	-0.20499177	0.20215473	0.16094379	0.0008873929	-0.31110993	0.0012931305	0.001227474	-0.28948635	241.77604341506958
24	0.5862069	0.4925123	1.0	0.0	0.5	0.5	1.0	0.0	8.655172	9.25	6000	0.26448834	0.31288838	1.4782653	-0.18711542	0.2645998	0.31335658	1.4934874	-0.19930625	0.19320935	0.16094379	0.00070334197	-0.3173523	0.001241862	0.0011494372	-0.23368974	251.97472715377808
