Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
1	0.23076923	0.42132506	1.0	0.0	0.3	0.45825756	1.0	0.0	6.4102564	3.8	250	0.18713707	0.5706161	1.5622964	-0.5921461	0.018374847	0.8875	7.379580020904541
2	0.34210527	0.47441462	1.0	0.0	0.9	0.29999998	1.0	0.0	6.605263	2.9	500	1.1157402	2.0800931	1.2189302	-0.4031201	0.023840271	0.775	13.418991088867188
3	0.57575756	0.49422747	1.0	0.0	0.95	0.21794493	1.0	0.0	7.4242425	2.85	750	2.1856217	3.9637592	1.3661621	-0.2231859	0.013480656	0.6625	19.45029067993164
4	0.5833333	0.4930066	1.0	0.0	0.95	0.21794493	1.0	0.0	6.9722223	3.95	1000	3.4205546	6.143467	1.3221762	-0.21508095	0.0048291623	0.55	25.80388593673706
5	0.70212764	0.45732307	1.0	0.0	1.0	0.0	1.0	1.0	5.255319	2.85	1250	3.7991402	6.8157554	1.1618221	-0.1735807	0.0019144886	0.4375	32.120864152908325
6	0.9375	0.24206147	1.0	0.0	1.0	0.0	1.0	1.0	5.25	3.45	1500	3.9969378	7.1684566	1.1219712	-0.16088027	0.0006909739	0.325	38.46941900253296
7	0.9166667	0.2763854	1.0	0.0	0.9	0.29999998	1.0	0.0	4.233333	3.15	1750	4.092184	7.3380933	1.0759093	-0.16023934	0.00035290237	0.21250000000000002	44.94148588180542
8	0.9315069	0.25259027	1.0	0.0	1.0	0.0	1.0	1.0	3.410959	2.35	2000	4.102973	7.357285	1.0716105	-0.12136543	0.00021813459	0.1	51.54450535774231
9	0.9782609	0.14583053	1.0	0.0	1.0	0.0	1.0	1.0	2.7173913	2.8	2250	4.103197	7.3580003	1.0484979	-0.119745076	0.00015666745	0.1	58.334272623062134
10	0.96511626	0.1834853	1.0	0.0	1.0	0.0	1.0	1.0	2.9302325	2.3	2500	4.1263556	7.398933	1.0449268	-0.11909044	0.00014139817	0.1	64.85334706306458
11	0.9876543	0.11042311	1.0	0.0	0.95	0.21794493	1.0	0.0	3.0617285	2.8	2750	4.136411	7.4173956	1.0442762	-0.118979275	0.00011461432	0.1	71.51901292800903
12	0.9787234	0.14430489	1.0	0.0	1.0	0.0	1.0	1.0	2.680851	2.6	3000	4.1337996	7.4121265	1.0436443	-0.12259036	0.00013031322	0.1	78.26058435440063
13	0.9787234	0.14430489	1.0	0.0	1.0	0.0	1.0	1.0	2.6595745	2.3	3250	4.1237435	7.394714	1.0398549	-0.1142692	0.00012995991	0.1	85.0194263458252
14	0.9880952	0.10845755	1.0	0.0	1.0	0.0	1.0	1.0	2.9761906	2.0	3500	4.1764984	7.4888096	1.0536008	-0.094530046	0.00012027721	0.1	91.58833479881287
15	0.95652175	0.20393112	1.0	0.0	0.95	0.21794493	1.0	0.0	2.6630435	2.55	3750	4.1809573	7.496732	1.0403453	-0.10546237	0.000102711914	0.1	98.37980484962463
16	0.9894737	0.10205642	1.0	0.0	1.0	0.0	1.0	1.0	2.6526315	2.5	4000	4.1512265	7.4435325	1.038892	-0.09749758	0.00010825377	0.1	105.23550462722778
17	0.9880952	0.10845754	1.0	0.0	1.0	0.0	1.0	1.0	3.0119047	2.55	4250	4.146059	7.4342723	1.0346569	-0.08279824	9.999036e-05	0.1	111.90714001655579
18	0.978022	0.1466117	1.0	0.0	1.0	0.0	1.0	1.0	2.7472527	2.7	4500	4.141919	7.427258	1.0441842	-0.089012265	0.000107189415	0.1	118.71458435058594
19	0.9354839	0.2456701	1.0	0.0	1.0	0.0	1.0	1.0	2.6666667	2.9	4750	4.1609898	7.4615326	1.0403408	-0.11262691	0.00011392764	0.1	125.4746105670929
20	0.969697	0.17141983	1.0	0.0	1.0	0.0	1.0	1.0	2.5353534	2.2	5000	4.1872706	7.5081625	1.0881122	-0.112574935	0.000105963496	0.1	132.13318061828613
21	0.9896907	0.101009876	1.0	0.0	1.0	0.0	1.0	1.0	2.5670104	2.3	5250	4.191392	7.515997	1.0358018	-0.08937842	9.496078e-05	0.1	138.84532952308655
22	0.9756098	0.15425743	1.0	0.0	1.0	0.0	1.0	1.0	3.0487804	2.65	5500	4.174383	7.485666	1.027719	-0.08949649	8.698821e-05	0.1	145.42519211769104
23	0.95652175	0.20393111	1.0	0.0	0.95	0.21794495	1.0	0.0	2.7282608	2.5	5750	4.139512	7.4232707	1.0287775	-0.08716953	7.8569625e-05	0.1	152.01659893989563
24	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.7362638	2.5	6000	4.137773	7.4200444	1.0274365	-0.09575945	8.486008e-05	0.1	158.86643886566162
