Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.21052632	0.40768245	1.0	0.0	0.0	0.0	0.0	0.0	13.0	25.0	250	-6.805702	4.5619717	3.0314627	-22.405674	-6.8028245	4.5655766	3.1621828	-22.223764	1.3693047	-6.0	0.94071335	8.427097	7.616449	7.605353	-0.7297385	299.2363471984863
2	0.10714286	0.3092948	1.0	0.0	0.0	0.0	0.0	0.0	8.5	25.0	500	-1.3395222	1.070702	1.8341157	-3.9296768	-1.3398364	1.0702921	1.931462	-4.1375504	-1.8836353	-6.0	0.5506018	0.3188084	0.07497582	0.077054955	-4.796971	605.180180311203
3	0.23809524	0.42591769	1.0	0.0	0.0	0.0	0.0	0.0	12.571428	25.0	750	0.2950599	0.510632	2.0903096	-1.543069	0.29472056	0.5142528	2.200818	-1.5674763	-1.9394168	-6.0	0.3257954	-0.8811267	0.031765025	0.033048604	-8.995267	901.443282365799
4	0.083333336	0.2763854	1.0	0.0	0.0	0.0	0.0	0.0	20.666666	25.0	1000	1.0325828	0.28222942	2.277867	-0.05598847	1.0323095	0.2864659	2.3011713	-0.041812167	-1.9469553	-6.0	0.19493158	-1.3999004	0.019991841	0.020426745	-13.076303	1176.3482110500336
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4	25.0	1250	1.309562	0.25252008	2.2908614	0.038628854	1.3095884	0.25403884	2.2917478	0.030830828	-1.8405913	-6.0	0.11772162	-1.540397	0.013632487	0.014172894	-16.851673	1464.9729702472687
6	0.09090909	0.2874798	1.0	0.0	0.0	0.0	0.0	0.0	23.181818	25.0	1500	1.36901	0.24585196	2.117285	0.024465425	1.3690448	0.24552642	2.1909811	0.035495445	-1.7237202	-6.0	0.07162323	-1.5137622	0.00987302	0.010113754	-20.436531	1728.6075475215912
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1	25.0	1750	1.3079659	0.22400807	1.9285681	-0.036581386	1.3079305	0.22379942	1.9935849	-0.03849353	-1.5869327	-6.0	0.043782335	-1.3966376	0.007725947	0.007985601	-23.804556	1995.2563161849976
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	2000	1.1968464	0.19227995	1.7808992	-0.107975125	1.1967322	0.19159868	1.7877364	-0.088619664	-1.4669238	-6.0	0.026858047	-1.248975	0.006019664	0.006275088	-27.074335	2260.0831871032715
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	2250	1.0653877	0.16336489	1.5695767	-0.19083281	1.0654273	0.16299827	1.572066	-0.18049046	-1.2398747	-6.0	0.016543468	-1.0946723	0.004549488	0.004961234	-29.752258	2524.4693343639374
10	0.09090909	0.2874798	1.0	0.0	0.0	0.0	0.0	0.0	24.09091	25.0	2500	0.9392478	0.13869487	1.3923538	0.016456086	0.9393093	0.13896164	1.3849711	0.025534319	-1.0948229	-6.0	0.01024455	-0.95417136	0.0037383914	0.0041090087	-32.562973	2812.9103269577026
