Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	0.22222222	0.41573972	1.0	0.0	0.0	0.0	0.0	0.0	6.888889	25.0	250	1.3390538	0.4190376	2.902461	-0.09909989	1.3377417	0.42107755	2.908165	-0.25336903	1.5740151	0.16094379	0.9242875	-2.857204	0.02941856	0.02888107	-0.12498933	15.928843975067139
2	0.29411766	0.45564508	1.0	0.0	0.0	0.0	0.0	0.0	14.470589	25.0	500	1.260352	0.29657242	1.801511	-0.054644823	1.2604551	0.299146	1.7606779	-0.14198063	1.5524745	0.16094379	0.56256765	-2.1923292	0.009080687	0.00717383	-0.8141504	29.311582565307617
3	0.2857143	0.45175394	1.0	0.0	0.0	0.0	0.0	0.0	17.214285	25.0	750	0.92704785	0.20245399	1.2931508	-0.12732352	0.9270998	0.20858291	1.2982099	-0.11527489	1.5582618	0.16094379	0.3423543	-1.4726305	0.0016505154	0.00087946287	-1.5131049	42.45964479446411
4	0.4	0.489898	1.0	0.0	0.8	0.4	1.0	0.0	13.2	6.8	1000	0.6389048	0.15466617	1.1104549	-0.0991009	0.63896674	0.15698726	1.1277914	-0.08846477	1.541855	0.16094379	0.20748354	-0.96857977	0.00052777823	0.00036819937	-2.1810236	52.38624453544617
5	0.81578946	0.3876558	1.0	0.0	0.95	0.21794493	1.0	0.0	6.1842103	3.5	1250	0.46731696	0.16104065	1.1981405	-0.10786488	0.46736977	0.16171527	1.1849105	-0.12149299	1.333146	0.16094379	0.12969951	-0.700906	0.0007107029	0.0006642004	-2.3939	61.56345224380493
6	0.95384616	0.20981817	1.0	0.0	1.0	0.0	1.0	1.0	4.1076922	2.6	1500	0.41047618	0.20933484	1.3854467	-0.17766567	0.41050297	0.20947859	1.5268018	-0.12801196	1.0121431	0.16094379	0.08703242	-0.6009774	0.00096832	0.00094330346	-2.0715058	70.62887406349182
7	0.98	0.14	1.0	0.0	1.0	0.0	1.0	1.0	2.5	2.45	1750	0.4148438	0.24551484	1.4663992	-0.10359388	0.41486877	0.24554028	1.5540802	-0.10787508	0.6891319	0.16094379	0.06433404	-0.5838077	0.00094626157	0.0008988209	-1.445607	79.96602272987366
8	0.97938144	0.14210358	1.0	0.0	1.0	0.0	1.0	1.0	2.5773196	2.6	2000	0.43800393	0.26817462	1.4541228	-0.07692266	0.43802497	0.2683507	1.5261039	-0.05946126	0.50148857	0.16094379	0.05122695	-0.5885354	0.0008538098	0.0007853683	-1.010365	89.27371168136597
9	0.990566	0.09666934	1.0	0.0	1.0	0.0	1.0	1.0	2.3584905	2.45	2250	0.4610572	0.2826685	1.4233727	-0.0965131	0.46109253	0.2828764	1.4701372	-0.1548733	0.3725241	0.16094379	0.042802297	-0.5998959	0.0009327562	0.0008769628	-0.6659122	98.73813676834106
10	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.6041667	2.5	2500	0.48594573	0.2897913	1.3878691	-0.06357778	0.48598692	0.28997147	1.4441541	-0.058600377	0.29566905	0.16094379	0.037120886	-0.608838	0.0008555516	0.00079146185	-0.4431014	108.08138418197632
