sensor_video,obj_id,obj_lbl,obj_pose,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,tap_depth,pressed_buttons
video_1.mp4,1,-90.0_-30.0_0.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_2.mp4,2,-90.0_-30.0_1.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_3.mp4,3,-90.0_-30.0_2.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_4.mp4,4,-90.0_-30.0_3.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_5.mp4,5,-90.0_-30.0_4.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NONE
video_6.mp4,6,-90.0_-30.0_5.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,P
video_7.mp4,7,-90.0_-30.0_6.0,"[-30.0, -90.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,P
video_8.mp4,8,-87.0_-30.0_0.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_9.mp4,9,-87.0_-30.0_1.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_10.mp4,10,-87.0_-30.0_2.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_11.mp4,11,-87.0_-30.0_3.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_12.mp4,12,-87.0_-30.0_4.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,P
video_13.mp4,13,-87.0_-30.0_5.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,P
video_14.mp4,14,-87.0_-30.0_6.0,"[-30.0, -87.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,P
video_15.mp4,15,-84.0_-30.0_0.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_16.mp4,16,-84.0_-30.0_1.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_17.mp4,17,-84.0_-30.0_2.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_18.mp4,18,-84.0_-30.0_3.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_19.mp4,19,-84.0_-30.0_4.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,P
video_20.mp4,20,-84.0_-30.0_5.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,P
video_21.mp4,21,-84.0_-30.0_6.0,"[-30.0, -84.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,P
video_22.mp4,22,-81.0_-30.0_0.0,"[-30.0, -81.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_23.mp4,23,-81.0_-30.0_1.0,"[-30.0, -81.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_24.mp4,24,-81.0_-30.0_2.0,"[-30.0, -81.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
