sensor_video,obj_id,obj_lbl,obj_pose,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,tap_depth,pressed_buttons
video_1.mp4,1,-20.0_-20.0_0.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_2.mp4,2,-20.0_-20.0_0.5,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NONE
video_3.mp4,3,-20.0_-20.0_1.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_4.mp4,4,-20.0_-20.0_1.5,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,NONE
video_5.mp4,5,-20.0_-20.0_2.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_6.mp4,6,-20.0_-20.0_2.5,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,NONE
video_7.mp4,7,-20.0_-20.0_3.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_8.mp4,8,-20.0_-20.0_3.5,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,NONE
video_9.mp4,9,-20.0_-20.0_4.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NONE
video_10.mp4,10,-20.0_-20.0_4.5,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,NONE
video_11.mp4,11,-20.0_-20.0_5.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NONE
video_12.mp4,12,-20.0_-20.0_5.5,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,NONE
video_13.mp4,13,-20.0_-20.0_6.0,"[-20.0, -20.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NONE
video_14.mp4,14,-19.0_-20.0_0.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_15.mp4,15,-19.0_-20.0_0.5,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NONE
video_16.mp4,16,-19.0_-20.0_1.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_17.mp4,17,-19.0_-20.0_1.5,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,NONE
video_18.mp4,18,-19.0_-20.0_2.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_19.mp4,19,-19.0_-20.0_2.5,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,NONE
video_20.mp4,20,-19.0_-20.0_3.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_21.mp4,21,-19.0_-20.0_3.5,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,NONE
video_22.mp4,22,-19.0_-20.0_4.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NONE
video_23.mp4,23,-19.0_-20.0_4.5,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,NONE
video_24.mp4,24,-19.0_-20.0_5.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NONE
video_25.mp4,25,-19.0_-20.0_5.5,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,NONE
video_26.mp4,26,-19.0_-20.0_6.0,"[-20.0, -19.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NONE
video_27.mp4,27,-18.0_-20.0_0.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_28.mp4,28,-18.0_-20.0_0.5,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NONE
video_29.mp4,29,-18.0_-20.0_1.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_30.mp4,30,-18.0_-20.0_1.5,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,NONE
video_31.mp4,31,-18.0_-20.0_2.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_32.mp4,32,-18.0_-20.0_2.5,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,NONE
video_33.mp4,33,-18.0_-20.0_3.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_34.mp4,34,-18.0_-20.0_3.5,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,NONE
video_35.mp4,35,-18.0_-20.0_4.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NONE
video_36.mp4,36,-18.0_-20.0_4.5,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,NONE
video_37.mp4,37,-18.0_-20.0_5.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NONE
video_38.mp4,38,-18.0_-20.0_5.5,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,NONE
video_39.mp4,39,-18.0_-20.0_6.0,"[-20.0, -18.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NONE
video_40.mp4,40,-17.0_-20.0_0.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_41.mp4,41,-17.0_-20.0_0.5,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NONE
video_42.mp4,42,-17.0_-20.0_1.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_43.mp4,43,-17.0_-20.0_1.5,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,NONE
video_44.mp4,44,-17.0_-20.0_2.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_45.mp4,45,-17.0_-20.0_2.5,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,NONE
video_46.mp4,46,-17.0_-20.0_3.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_47.mp4,47,-17.0_-20.0_3.5,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,NONE
video_48.mp4,48,-17.0_-20.0_4.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NONE
video_49.mp4,49,-17.0_-20.0_4.5,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,NONE
video_50.mp4,50,-17.0_-20.0_5.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NONE
video_51.mp4,51,-17.0_-20.0_5.5,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,NONE
video_52.mp4,52,-17.0_-20.0_6.0,"[-20.0, -17.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NONE
video_53.mp4,53,-16.0_-20.0_0.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_54.mp4,54,-16.0_-20.0_0.5,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NONE
video_55.mp4,55,-16.0_-20.0_1.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_56.mp4,56,-16.0_-20.0_1.5,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,NONE
video_57.mp4,57,-16.0_-20.0_2.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_58.mp4,58,-16.0_-20.0_2.5,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,NONE
video_59.mp4,59,-16.0_-20.0_3.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
video_60.mp4,60,-16.0_-20.0_3.5,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,NONE
video_61.mp4,61,-16.0_-20.0_4.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NONE
video_62.mp4,62,-16.0_-20.0_4.5,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,NONE
video_63.mp4,63,-16.0_-20.0_5.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NONE
video_64.mp4,64,-16.0_-20.0_5.5,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,NONE
video_65.mp4,65,-16.0_-20.0_6.0,"[-20.0, -16.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NONE
video_66.mp4,66,-15.0_-20.0_0.0,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
video_67.mp4,67,-15.0_-20.0_0.5,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NONE
video_68.mp4,68,-15.0_-20.0_1.0,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NONE
video_69.mp4,69,-15.0_-20.0_1.5,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,NONE
video_70.mp4,70,-15.0_-20.0_2.0,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NONE
video_71.mp4,71,-15.0_-20.0_2.5,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,NONE
video_72.mp4,72,-15.0_-20.0_3.0,"[-20.0, -15.0, 0.0, 0.0, 0.0, -145.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NONE
